Time,Timestamp,ISO8601,Heart Rate (bpm),Lap,Since start (second)
06:13:50.548,1775214830.548,2026-04-03T06:13:50.548-0500,100,1,337
06:13:51.548,1775214831.548,2026-04-03T06:13:51.548-0500,100,1,338
06:13:52.548,1775214832.548,2026-04-03T06:13:52.548-0500,100,1,339
06:13:53.548,1775214833.548,2026-04-03T06:13:53.548-0500,101,1,340
06:13:54.548,1775214834.548,2026-04-03T06:13:54.548-0500,101,1,341
06:13:55.548,1775214835.548,2026-04-03T06:13:55.548-0500,101,1,342
06:13:56.548,1775214836.548,2026-04-03T06:13:56.548-0500,101,1,343
06:13:57.548,1775214837.548,2026-04-03T06:13:57.548-0500,101,1,344
06:13:58.548,1775214838.548,2026-04-03T06:13:58.548-0500,102,1,345
06:13:59.548,1775214839.548,2026-04-03T06:13:59.548-0500,103,1,346
06:14:00.548,1775214840.548,2026-04-03T06:14:00.548-0500,104,1,347
06:14:01.548,1775214841.548,2026-04-03T06:14:01.548-0500,104,1,348
06:14:02.548,1775214842.548,2026-04-03T06:14:02.548-0500,104,1,349
06:14:03.548,1775214843.548,2026-04-03T06:14:03.548-0500,103,1,350
06:14:04.548,1775214844.548,2026-04-03T06:14:04.548-0500,103,1,351
06:14:05.548,1775214845.548,2026-04-03T06:14:05.548-0500,102,1,352
