Date, Workout Type, Calories, Time, Distance, Pace, Heart Rate, Elevation
2/3/26,Walking,"33" kcal, 19min,"1.06" mi,"18m 15s","0 bpm","13.33 m"
2/5/26,Walking,"9" kcal, 2min,"0.15" mi,"18m 50s","80 bpm","0.82 m"
2/9/26,Walking,"45" kcal, 15min,"0.48" mi,"32m 11s","92 bpm","14.43 m"
2/11/26,Walking,"11" kcal, 1min,"0.13" mi,"11m 6s","0 bpm","4.12 m"
2/15/26,Walking,"26" kcal, 17min,"0.35" mi,"49m 43s","87 bpm","0.56 m"
2/17/26,Walking,"61" kcal, 41min,"0.27" mi,"150m 47s","128 bpm","2.06 m"
2/17/26,Walking,"71" kcal, 36min,"0.43" mi,"85m 2s","101 bpm","4.21 m"
2/18/26,Walking,"16" kcal, 3min,"0.2" mi,"19m 10s","104 bpm","9.44 m"
3/2/26,Walking,"28" kcal, 10min,"0.21" mi,"49m 46s","72 bpm","10 m"
3/3/26,Walking,"32" kcal, 10min,"0.51" mi,"21m 22s","88 bpm","0 m"
3/3/26,Walking,"61" kcal, 22min,"0.57" mi,"39m 32s","83 bpm","18.03 m"
3/8/26,Walking,"84" kcal, 20min,"0.94" mi,"22m 12s","93 bpm","21.03 m"
3/10/26,Walking,"96" kcal, 29min,"0.97" mi,"30m 53s","77 bpm","41.42 m"
3/12/26,Walking,"73" kcal, 20min,"1" mi,"20m 38s","81 bpm","4.89 m"
3/14/26,Walking,"21" kcal, 5min,"0.3" mi,"19m 15s","86 bpm","0.44 m"
3/14/26,Walking,"42" kcal, 11min,"0.43" mi,"26m 1s","106 bpm","1.1 m"
3/15/26,Walking,"45" kcal, 18min,"0.53" mi,"34m 43s","72 bpm","34.84 m"
3/16/26,Walking,"28" kcal, 6min,"0.33" mi,"18m 11s","85 bpm","5.43 m"
3/17/26,Walking,"26" kcal, 5min,"0.33" mi,"16m 22s","0 bpm","3.16 m"
3/18/26,Walking,"75" kcal, 19min,"1" mi,"19m 32s","89 bpm","0 m"
3/18/26,Walking,"105" kcal, 21min,"1.06" mi,"19m 58s","115 bpm","0 m"
3/25/26,Walking,"38" kcal, 12min,"0.6" mi,"20m 45s","80 bpm","0 m"
3/25/26,Walking,"40" kcal, 13min,"0.42" mi,"31m 10s","101 bpm","3.49 m"
3/30/26,Walking,"15" kcal, 3min,"0.22" mi,"17m 58s","89 bpm","4.5 m"
4/3/26,Walking,"55" kcal, 15min,"0.8" mi,"18m 50s","84 bpm","0 m"
4/3/26,Walking,"17" kcal, 4min,"0.19" mi,"22m 45s","113 bpm","0.53 m"
2/7/26,Swimming,"81" kcal, 14min,"0.17" mi,"82m 32s","126 bpm","0 m"
2/8/26,Swimming,"296" kcal, 1hr 19min,"0.58" mi,"136m 45s","104 bpm","0 m"
2/12/26,Swimming,"174" kcal, 24min,"0.28" mi,"86m 1s","123 bpm","0 m"
2/18/26,Swimming,"211" kcal, 30min,"0.34" mi,"88m 10s","121 bpm","0 m"
2/20/26,Swimming,"114" kcal, 14min,"0.17" mi,"84m 58s","120 bpm","0 m"
2/22/26,Swimming,"394" kcal, 54min,"0.61" mi,"89m 17s","120 bpm","0 m"
2/24/26,Swimming,"351" kcal, 49min,"0.57" mi,"86m 21s","123 bpm","0 m"
2/26/26,Swimming,"119" kcal, 17min,"0.2" mi,"86m 59s","121 bpm","0 m"
2/28/26,Swimming,"347" kcal, 39min,"0.57" mi,"69m 45s","122 bpm","0 m"
3/2/26,Swimming,"203" kcal, 25min,"0.34" mi,"74m 13s","121 bpm","0 m"
3/13/26,Swimming,"98" kcal, 14min,"0.17" mi,"86m 55s","113 bpm","0 m"
3/16/26,Swimming,"96" kcal, 11min,"0.17" mi,"68m 12s","118 bpm","0 m"
3/17/26,Swimming,"290" kcal, 37min,"0.58" mi,"64m 24s","129 bpm","0 m"
3/19/26,Swimming,"180" kcal, 24min,"0.34" mi,"70m 39s","119 bpm","0 m"
3/23/26,Swimming,"182" kcal, 24min,"0.37" mi,"67m 32s","114 bpm","0 m"
3/24/26,Swimming,"348" kcal, 45min,"0.64" mi,"71m 1s","117 bpm","0 m"
3/28/26,Swimming,"261" kcal, 1hr 15min,"0.47" mi,"160m 1s","100 bpm","0 m"
3/31/26,Swimming,"195" kcal, 41min,"0.38" mi,"109m 12s","102 bpm","0 m"
4/4/26,Swimming,"389" kcal, 51min,"0.7" mi,"73m 22s","115 bpm","0 m"
12/14/24,Cycling,"73" kcal, 10min,"0" mi,"0s","126 bpm","0 m"
12/15/24,Cycling,"74" kcal, 9min,"0" mi,"0s","132 bpm","0 m"
11/14/25,Cycling,"69" kcal, 13min,"0" mi,"0s","109 bpm","0 m"
11/23/25,Cycling,"84" kcal, 18min,"0" mi,"0s","104 bpm","0 m"
1/2/26,Cycling,"57" kcal, 13min,"0" mi,"0s","101 bpm","0 m"
1/3/26,Cycling,"100" kcal, 16min,"0" mi,"0s","117 bpm","0 m"
1/7/26,Cycling,"81" kcal, 20min,"0" mi,"0s","103 bpm","0 m"
1/8/26,Cycling,"237" kcal, 38min,"0" mi,"0s","110 bpm","0 m"
1/9/26,Cycling,"187" kcal, 33min,"0" mi,"0s","110 bpm","0 m"
1/10/26,Cycling,"142" kcal, 21min,"0" mi,"0s","119 bpm","0 m"
1/11/26,Cycling,"105" kcal, 21min,"0" mi,"0s","104 bpm","0 m"
1/12/26,Cycling,"279" kcal, 43min,"0" mi,"0s","119 bpm","0 m"
1/13/26,Cycling,"170" kcal, 39min,"0" mi,"0s","102 bpm","0 m"
1/14/26,Cycling,"286" kcal, 42min,"10.1" mi,"4m 9s","0 bpm","0 m"
1/15/26,Cycling,"120" kcal, 20min,"0" mi,"0s","76 bpm","0 m"
1/15/26,Cycling,"145" kcal, 25min,"0" mi,"0s","98 bpm","0 m"
1/16/26,Cycling,"267" kcal, 44min,"0" mi,"0s","118 bpm","0 m"
1/18/26,Cycling,"206" kcal, 44min,"0" mi,"0s","111 bpm","0 m"
1/20/26,Cycling,"221" kcal, 43min,"0" mi,"0s","116 bpm","0 m"
1/21/26,Cycling,"233" kcal, 44min,"0" mi,"0s","106 bpm","0 m"
1/22/26,Cycling,"260" kcal, 40min,"0" mi,"0s","122 bpm","0 m"
1/23/26,Cycling,"358" kcal, 56min,"0" mi,"0s","119 bpm","0 m"
1/23/26,Cycling,"376" kcal, 0min,"13.1" mi,"0s","0 bpm","0 m"
1/26/26,Cycling,"369" kcal, 1hr 2min,"0" mi,"0s","111 bpm","0 m"
1/27/26,Cycling,"220" kcal, 43min,"0" mi,"0s","105 bpm","0 m"
1/28/26,Cycling,"218" kcal, 42min,"0" mi,"0s","112 bpm","0 m"
1/29/26,Cycling,"293" kcal, 54min,"0" mi,"0s","111 bpm","0 m"
2/1/26,Cycling,"246" kcal, 40min,"0" mi,"0s","116 bpm","0 m"
2/3/26,Cycling,"33" kcal, 6min,"0" mi,"0s","114 bpm","0 m"
2/4/26,Cycling,"105" kcal, 27min,"0" mi,"0s","92 bpm","0 m"
2/6/26,Cycling,"69" kcal, 10min,"0" mi,"0s","125 bpm","0 m"
2/10/26,Cycling,"300" kcal, 2hr 34min,"0" mi,"0s","104 bpm","0 m"
2/17/26,Cycling,"12" kcal, 1min,"0" mi,"0s","126 bpm","0 m"
2/17/26,Cycling,"64" kcal, 8min,"0" mi,"0s","131 bpm","0 m"
2/20/26,Cycling,"113" kcal, 20min,"0" mi,"0s","110 bpm","0 m"
2/23/26,Cycling,"96" kcal, 13min,"0" mi,"0s","130 bpm","0 m"
2/24/26,Cycling,"48" kcal, 12min,"0" mi,"0s","92 bpm","0 m"
2/24/26,Cycling,"59" kcal, 8min,"0" mi,"0s","122 bpm","0 m"
2/26/26,Cycling,"99" kcal, 21min,"0" mi,"0s","101 bpm","0 m"
2/26/26,Cycling,"14" kcal, 2min,"0" mi,"0s","113 bpm","0 m"
3/1/26,Cycling,"197" kcal, 35min,"0" mi,"0s","109 bpm","0 m"
3/3/26,Cycling,"150" kcal, 38min,"0" mi,"0s","98 bpm","0 m"
3/3/26,Cycling,"31" kcal, 7min,"0" mi,"0s","103 bpm","0 m"
3/11/26,Cycling,"204" kcal, 32min,"0" mi,"0s","118 bpm","0 m"
3/16/26,Cycling,"153" kcal, 32min,"0" mi,"0s","98 bpm","0 m"
3/17/26,Cycling,"95" kcal, 19min,"0" mi,"0s","114 bpm","0 m"
3/19/26,Cycling,"102" kcal, 21min,"0" mi,"0s","103 bpm","0 m"
3/23/26,Cycling,"26" kcal, 6min,"0" mi,"0s","96 bpm","0 m"
3/24/26,Cycling,"58" kcal, 14min,"0" mi,"0s","95 bpm","0 m"
3/30/26,Cycling,"159" kcal, 27min,"0" mi,"0s","112 bpm","0 m"
4/2/26,Cycling,"166" kcal, 30min,"0" mi,"0s","109 bpm","0 m"
4/6/26,Cycling,"217" kcal, 43min,"0" mi,"0s","104 bpm","0 m"
